Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2009","2009","g/capita/day","57.79","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2010","2010","g/capita/day","58.14","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2011","2011","g/capita/day","58.91","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2012","2012","g/capita/day","58.91","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2013","2013","g/capita/day","58.25","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2009","2009","g/capita/day","46.12","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2010","2010","g/capita/day","46.03","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2011","2011","g/capita/day","46.73","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2012","2012","g/capita/day","46.65","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2903","Vegetal Products","2013","2013","g/capita/day","46.03","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2009","2009","g/capita/day","11.68","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2010","2010","g/capita/day","12.11","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2011","2011","g/capita/day","12.18","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2012","2012","g/capita/day","12.26","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2941","Animal Products","2013","2013","g/capita/day","12.22","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2960","Fish, Seafood","2009","2009","g/capita/day","0.02","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2960","Fish, Seafood","2010","2010","g/capita/day","0.02","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2960","Fish, Seafood","2011","2011","g/capita/day","0.02","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2960","Fish, Seafood","2012","2012","g/capita/day","0.02","Fc","Calculated data"
"FBS","Food Balance Sheets","2","Afghanistan","674","Protein supply quantity (g/capita/day)","2960","Fish, Seafood","2013","2013","g/capita/day","0.02","Fc","Calculated data"
"FBS","Food Balance Sheets","3","Albania","674","Protein supply quantity (g/capita/day)","2901","Grand Total","2009","2009","g/capita/day","101.91","Fc","Calculated data"
