Country (Country),Species (ASFIS species),Fishing area (FAO major fishing area),Unit (Unit),2010,2011,2012,2013,2014,2015,2016,2017
Comoros,Rusty jobfish,"Indian Ocean, Western",Tonnes - live weight,-,-,-,-,-,-,-,46
Greenland,Bearded seal,"Atlantic, Northwest",Number,1091,990,879,837,1069,957,1031,723
Mauritania,"Suckerfishes, remoras nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,541,18,3
New Zealand,Giant boarfish,"Pacific, Southwest",Tonnes - live weight,7,9,4,5,4,4,5,3
Peru,Marine molluscs nei,"Pacific, Southeast",Tonnes - live weight,3509,6046,9090,2040,1985,2297,665,12
United States of America,Starry rockfish,"Pacific, Northeast",Tonnes - live weight,1,0 0,0 0,1,1,1,1,1
"Venezuela, Boliv Rep of",Silver mylossoma,"America, South - Inland waters",Tonnes - live weight,...,...,...,...,...,...,983,780 F
Bonaire/S.Eustatius/Saba,Caribbean spiny lobster,"Atlantic, Western Central",Tonnes - live weight,...,45 F,45,45,54,70,100 F,128
France,Senegalese sole,"Atlantic, Northeast",Tonnes - live weight,59,66,60,56,51,54,39,45
Greenland,Bearded seal,"Atlantic, Northeast",Number,315,312,221,279,290,398,304,176
New Zealand,"Grenadiers, rattails nei","Pacific, Southwest",Tonnes - live weight,2206,1672,2441,2906,2421,2423,2919,3982
Réunion,"Octopuses, etc. nei","Indian Ocean, Western",Tonnes - live weight,0 0,0 0,1,0 0,0 0,0 0,0 0,-
Serbia and Montenegro,Common octopus,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,-
Spain,Tadpole codling,"Atlantic, Southwest",Tonnes - live weight,2267,2851,3441,3592,2853,2776,2393,1171
United States of America,Splitnose rockfish,"Pacific, Northeast",Tonnes - live weight,81,15,37,29,32,15,48,101
United States of America,Lookdown,"Atlantic, Western Central",Tonnes - live weight,4,3,4,2,4,3,2,2
Grenada,"Needlefishes, etc. nei","Atlantic, Western Central",Tonnes - live weight,0 0,1,0 0,1,1,1 F,1 F,1 F
France,Northern quahog(=Hard clam),"Atlantic, Northeast",Tonnes - live weight,184,56,32,1,1,-,-,-
Italy,Small red scorpionfish,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,...,38,36,60
Lithuania,Roughhead grenadier,"Atlantic, Northwest",Tonnes - live weight,5,10,19,-,-,-,-,-
Lithuania,Roundnose grenadier,"Atlantic, Northeast",Tonnes - live weight,-,-,45,-,-,-,-,-
Serbia and Montenegro,Horned and musky octopuses,Mediterranean and Black Sea,Tonnes - live weight,...,...,...,...,...,...,...,...
Saint Kitts and Nevis,"Cuttlefish, bobtail squids nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,3,-,...
United States of America,Greenstriped rockfish,"Pacific, Northeast",Tonnes - live weight,0 0,0 0,0 0,0 0,0 0,0 0,6,8
"Venezuela, Boliv Rep of",Gilded catfish,"America, South - Inland waters",Tonnes - live weight,...,...,...,...,...,...,423,335 F
France,Baleen whales nei,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Lithuania,Roughhead grenadier,"Atlantic, Northeast",Tonnes - live weight,-,-,703,-,-,-,-,-
Lithuania,Roundnose grenadier,"Atlantic, Northwest",Tonnes - live weight,0 0,-,-,-,-,-,-,-
United States of America,Shortbelly rockfish,"Pacific, Northeast",Tonnes - live weight,0 0,-,0 0,2,0 0,0 0,0 0,151
United States of America,Lookdown,"Atlantic, Northwest",Tonnes - live weight,1,0 0,2,1,1,1,0 0,1
France,Striped dolphin,Marine areas outside the Antarctic,Number,6,22,-,-,-,-,-,-
Côte d'Ivoire,"Conger eels, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,11,14,12,11,24,15 F,7,7 F
Serbia and Montenegro,Marine molluscs nei,Mediterranean and Black Sea,Tonnes - live weight,136,20,25,20,21,19,23,36
Saint Helena,"Octopuses, etc. nei","Atlantic, Southeast",Tonnes - live weight,104,125,1690,1474,1106,1200,890,1065
Sao Tome and Principe,Cephalopods nei,"Atlantic, Eastern Central",Tonnes - live weight,170,95,42,39,44,41,45,43
United States of America,Treefish,"Pacific, Northeast",Tonnes - live weight,...,2,22,28,27,19,20,22
Germany,Long-finned pilot whale,Marine areas outside the Antarctic,Number,-,-,-,-,-,-,-,-
Saint Vincent/Grenadines,"Octopuses, etc. nei","Atlantic, Eastern Central",Tonnes - live weight,-,-,-,-,-,-,-,...
Spain,Golden shrimp,Mediterranean and Black Sea,Tonnes - live weight,157 F,73,2,3,-,2,4,10
Thailand,Snakeskin gourami,Asia - Inland waters,Tonnes - live weight,5,8,...,...,...,...,...,-
Israel,Brushtooth lizardfish,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,-
Netherlands,Southern rays bream,"Pacific, Southeast",Tonnes - live weight,...,...,...,...,...,170,202,198
Russian Federation,"Cuttlefish, bobtail squids nei","Indian Ocean, Western",Tonnes - live weight,225,70,54,56,43,62,68,65
United States of America,Shortspine thornyhead,"Pacific, Northeast",Tonnes - live weight,-,-,-,-,-,-,-,-
France,Sea lamprey,"Atlantic, Northeast",Tonnes - live weight,67,60,2,2,3,3,4,5
Ireland,Deep-sea red crab,"Atlantic, Northeast",Tonnes - live weight,2,2,7,8,4,8,7,6
"Korea, Republic of",Blue grenadier,"Pacific, Southwest",Tonnes - live weight,-,-,-,-,-,-,-,-
Romania,Marine molluscs nei,Mediterranean and Black Sea,Tonnes - live weight,-,-,-,-,-,-,-,-
Russian Federation,"Octopuses, etc. nei","Pacific, Northwest",Tonnes - live weight,...,18,7,6,4,8,8,7
