Country,OECD,Country,capital,Capital_lat,capital_lon
Afghanistan,,,Kabul,34.28N,69.11E
Albania,,,Tirane,41.18N,19.49E
Algeria,,,Algiers,36.42N,03.08E
American Samoa,,,Pago Pago,14.16S,170.43W
Andorra,,,Andorra la Vella,42.31N,01.32E
Angola,,,Luanda,08.50S,13.15E
Anguilla,,,,,
Antigua and Barbuda,,Antigua and Barbuda,West Indies,17.20N,61.48W
Argentina,,Argentina,Buenos Aires,36.30S,60.00W
Armenia,,Armenia,Yerevan,40.10N,44.31E
Aruba,,Aruba,Oranjestad,12.32N,70.02W
Australia,1,Australia,Canberra,35.15S,149.08E
Austria,1,Austria,Vienna,48.12N,16.22E
Azerbaijan,,Azerbaijan,Baku,40.29N,49.56E
Bahamas,,Bahamas,Nassau,25.05N,77.20W
Bahrain,,Bahrain,Manama,26.10N,50.30E
Bangladesh,,Bangladesh,Dhaka,23.43N,90.26E
Barbados,,Barbados,Bridgetown,13.05N,59.30W
Belarus,,Belarus,Minsk,53.52N,27.30E
Belgium,1,Belgium,Brussels,50.51N,04.21E
Belize,,Belize,Belmopan,17.18N,88.30W
Benin,,Benin,Porto Novo (constitutional) / Cotonou (seat of government),06.23N,02.42E
Bermuda,,,,,
Bhutan,,Bhutan,Thimphu,27.31N,89.45E
Bolivia (Plurinat.State),,Bolivia,La Paz (administrative) / Sucre (legislative),16.20S,68.10W
Bonaire/S.Eustatius/Saba,,,,,
Bosnia and Herzegovina,,Bosnia and Herzegovina,Sarajevo,43.52N,18.26E
Botswana,,Botswana,Gaborone,24.45S,25.57E
Brazil,,Brazil,Brasilia,15.47S,47.55W
British Indian Ocean Ter,,,,,
British Virgin Islands,,British Virgin Islands,Road Town,18.27N,64.37W
Brunei Darussalam,,Brunei Darussalam,Bandar Seri Begawan,04.52N,115.00E
Bulgaria,,Bulgaria,Sofia,42.45N,23.20E
Burkina Faso,,Burkina Faso,Ouagadougou,12.15N,01.30W
Burundi,,Burundi,Bujumbura,03.16S,29.18E
Cabo Verde,,Cape Verde,Praia,15.02N,23.34W
Cambodia,,Cambodia,Phnom Penh,11.33N,104.55E
Cameroon,,Cameroon,Yaounde,03.50N,11.35E
Canada,1,Canada,Ottawa,45.27N,75.42W
Cayman Islands,,Cayman Islands,George Town,19.20N,81.24W
Central African Republic,,Central African Republic,Bangui,04.23N,18.35E
Chad,,Chad,N'Djamena,12.10N,14.59E
Channel Islands,,,,,
Chile,1,Chile,Santiago,33.24S,70.40W
China,,China,Beijing,39.55N,116.20E
"China, Hong Kong SAR",,,,,
"China, Macao SAR",,"Macao, China",Macau,22.12N,113.33E
Colombia,,Colombia,Bogota,04.34N,74.00W
Comoros,,Comros,Moroni,11.40S,43.16E
Congo,,Congo,Brazzaville,04.09S,15.12E
"Congo, Dem. Rep. of the",,Democratic Republic of the Congo,Kinshasa,04.20S,15.15E
Cook Islands,,,,,
Costa Rica,,Costa Rica,San Jose,09.55N,84.02W
Côte d'Ivoire,,Cote d'Ivoire,Yamoussoukro,06.49N,05.17W
Croatia,,Croatia,Zagreb,45.50N,15.58E
Cuba,,Cuba,Havana,23.08N,82.22W
Curaçao,,,,,
Cyprus,,Cyprus,Nicosia,35.10N,33.25E
Czechia,,,,,
Czechoslovakia,1,Czech Republic,Prague,50.05N,14.22E
Denmark,1,Denmark,Copenhagen,55.41N,12.34E
Djibouti,,Djibouti,Djibouti,11.08N,42.20E
Dominica,,Dominica,Roseau,15.20N,61.24W
Dominican Republic,,Dominica Republic,Santo Domingo,18.30N,69.59W
Ecuador,,Ecuador,Quito,00.15S,78.35W
Egypt,,Egypt,Cairo,30.01N,31.14E
El Salvador,,El Salvador,San Salvador,13.40N,89.10W
Equatorial Guinea,,Equatorial Guinea,Malabo,03.45N,08.50E
Eritrea,,Eritrea,Asmara,15.19N,38.55E
Estonia,1,Estonia,Tallinn,59.22N,24.48E
Eswatini,,,,,
Ethiopia,,Ethiopia,Addis Ababa,09.02N,38.42E
Falkland Is.(Malvinas),,Falkland Islands (Malvinas),Stanley,51.40S,59.51W
Faroe Islands,,Faroe Islands,Torshavn,62.05N,06.56W
Fiji,,Fiji,Suva,18.06S,178.30E
Finland,1,Finland,Helsinki,60.15N,25.03E
France,1,France,Paris,48.50N,02.20E
French Guiana,,French Guiana,Cayenne,05.05N,52.18W
French Polynesia,,French Polynesia,Papeete,17.32S,149.34W
French Southern Terr,,,,,
Gabon,,Gabon,Libreville,00.25N,09.26E
Gambia,,Gambia,Banjul,13.28N,16.40W
Georgia,,Georgia,T'bilisi,41.43N,44.50E
Germany,1,Germany,Berlin,52.30N,13.25E
Ghana,,Ghana,Accra,05.35N,00.06W
Gibraltar,,,,,
Greece,1,Greece,Athens,37.58N,23.46E
Greenland,,Greenland,Nuuk,64.10N,51.35W
Grenada,,,,,
Guadeloupe,,Guadeloupe,Basse-Terre,16.00N,61.44W
Guam,,,,,
Guatemala,,Guatemala,Guatemala,14.40N,90.22W
Guinea,,Guinea,Conakry,09.29N,13.49W
Guinea-Bissau,,Guinea-Bissau,Bissau,11.45N,15.45W
Guyana,,Guyana,Georgetown,06.50N,58.12W
Haiti,,Haiti,Port-au-Prince,18.40N,72.20W
Honduras,,Honduras,Tegucigalpa,14.05N,87.14W
Hungary,1,Hungary,Budapest,47.29N,19.05E
Iceland,1,Iceland,Reykjavik,64.10N,21.57W
India,,India,New Delhi,28.37N,77.13E
Indonesia,,Indonesia,Jakarta,06.09S,106.49E
Iran (Islamic Rep. of),,Iran (Islamic Republic of),Tehran,35.44N,51.30E
Iraq,,Iraq,Baghdad,33.20N,44.30E
Ireland,1,Ireland,Dublin,53.21N,06.15W
Isle of Man,,,,,
Israel,1,Israel,Jerusalem,31.71N,35.10W
Italy,1,Italy,Rome,41.54N,12.29E
Jamaica,,Jamaica,Kingston,18.00N,76.50W
Japan,1,Japan,Tokyo,35.67N,139.65E
Jordan,,Jordan,Amman,31.57N,35.52E
Kazakhstan,,Kazakhstan,Astana,51.10N,71.30E
Kenya,,Kenya,Nairobi,01.17S,36.48E
Kiribati,,Kiribati,Tarawa,01.30N,173.00E
"Korea, Dem. People's Rep",,North Korea,Pyongyang,39.09N,125.30E
"Korea, Republic of",1,Republic of Korea,Seoul,37.31N,126.58E
Kuwait,,Kuwait,Kuwait,29.30N,48.00E
Kyrgyzstan,,Kyrgyzstan,Bishkek,42.54N,74.46E
Lao People's Dem. Rep.,,Lao People's Democratic Republic,Vientiane,17.58N,102.36E
Latvia,1,Latvia,Riga,56.53N,24.08E
Lebanon,,Lebanon,Beirut,33.53N,35.31E
Lesotho,,Lesotho,Maseru,29.18S,27.30E
Liberia,,Liberia,Monrovia,06.18N,10.47W
Libya,,Libyan Arab Jamahiriya,Tripoli,32.49N,13.07E
Liechtenstein,,Liechtenstein,Vaduz,47.08N,09.31E
Lithuania,1,Lithuania,Vilnius,54.38N,25.19E
Luxembourg,1,Luxembourg,Luxembourg,49.37N,06.09E
Madagascar,,Madagascar,Antananarivo,18.55S,47.31E
Malawi,,Malawi,Lilongwe,14.00S,33.48E
Malaysia,,Malaysia,Kuala Lumpur,03.09N,101.41E
Maldives,,Maldives,Male,04.00N,73.28E
Mali,,Mali,Bamako,12.34N,07.55W
Malta,,Malta,Valletta,35.54N,14.31E
Marshall Islands,,,,,
Martinique,,Martinique,Fort-de-France,14.36N,61.02W
Mauritania,,Mauritania,Nouakchott,20.10S,57.30E
Mauritius,,,,,
Mayotte,,Mayotte,Mamoudzou,12.48S,45.14E
Mexico,1,Mexico,Mexico,19.20N,99.10W
"Micronesia, Fed.States of",,Micronesia (Federated States of),Palikir,06.55N,158.09E
"Moldova, Republic of",,"Moldova, Republic of",Chisinau,47.02N,28.50E
Monaco,,,,,
Mongolia,,,,,
Montenegro,,,,,
Montserrat,,,,,
Morocco,,Morocco,Rabat,34.03N,6.83W
Mozambique,,Mozambique,Maputo,25.58S,32.32E
Myanmar,,Myanmar,Naypyidaw,19.75N,96.1E
Namibia,,Namibia,Windhoek,22.35S,17.04E
Nauru,,,,,
Nepal,,Nepal,Kathmandu,27.45N,85.20E
Netherlands,1,Netherlands,Amsterdam / The Hague (seat of Government),52.23N,04.54E
Netherlands Antilles,,Netherlands Antilles,Willemstad,12.05N,69.00W
New Caledonia,,New Caledonia,Noumea,22.17S,166.30E
New Zealand,1,New Zealand,Wellington,41.19S,174.46E
Nicaragua,,Nicaragua,Managua,12.06N,86.20W
Niger,,Niger,Niamey,13.27N,02.06E
Nigeria,,Nigeria,Abuja,09.05N,07.32E
Niue,,,,,
Norfolk Island,,Norfolk Island,Kingston,45.20S,168.43E
North Macedonia,,,,,
Northern Mariana Is.,,Northern Mariana Islands,Saipan,15.12N,145.45E
