Country,OECD,capital,capital_lat,capital_lat_NS,capital_lon,capital_lon_EW
Afghanistan,0,Kabul,34.28,N,69.11,E
Albania,0,Tirane,41.18,N,19.49,E
Algeria,0,Algiers,36.42,N,3.08,E
American Samoa,0,Pago Pago,14.16,S,170.43,W
Andorra,0,Andorra la Vella,42.31,N,1.32,E
Angola,0,Luanda,8.5,S,13.15,E
Anguilla,0,NA,NA,NA,NA,NA
Antigua and Barbuda,0,West Indies,17.2,N,61.48,W
Argentina,0,Buenos Aires,36.3,S,60,W
Armenia,0,Yerevan,40.1,N,44.31,E
Aruba,0,Oranjestad,12.32,N,70.02,W
Australia,1,Canberra,35.15,S,149.08,E
Austria,1,Vienna,48.12,N,16.22,E
Azerbaijan,0,Baku,40.29,N,49.56,E
Bahamas,0,Nassau,25.05,N,77.2,W
Bahrain,0,Manama,26.1,N,50.3,E
Bangladesh,0,Dhaka,23.43,N,90.26,E
Barbados,0,Bridgetown,13.05,N,59.3,W
Belarus,0,Minsk,53.52,N,27.3,E
Belgium,1,Brussels,50.51,N,4.21,E
Belize,0,Belmopan,17.18,N,88.3,W
Benin,0,Porto Novo (constitutional) / Cotonou (seat of government),6.23,N,2.42,E
Bermuda,0,NA,NA,NA,NA,NA
Bhutan,0,Thimphu,27.31,N,89.45,E
Bolivia (Plurinat.State),0,La Paz (administrative) / Sucre (legislative),16.2,S,68.1,W
Bonaire/S.Eustatius/Saba,0,NA,NA,NA,NA,NA
Bosnia and Herzegovina,0,Sarajevo,43.52,N,18.26,E
Botswana,0,Gaborone,24.45,S,25.57,E
Brazil,0,Brasilia,15.47,S,47.55,W
British Indian Ocean Ter,0,NA,NA,NA,NA,NA
British Virgin Islands,0,Road Town,18.27,N,64.37,W
Brunei Darussalam,0,Bandar Seri Begawan,4.52,N,115,E
Bulgaria,0,Sofia,42.45,N,23.2,E
Burkina Faso,0,Ouagadougou,12.15,N,1.3,W
Burundi,0,Bujumbura,3.16,S,29.18,E
Cabo Verde,0,Praia,15.02,N,23.34,W
Cambodia,0,Phnom Penh,11.33,N,104.55,E
Cameroon,0,Yaounde,3.5,N,11.35,E
Canada,1,Ottawa,45.27,N,75.42,W
Cayman Islands,0,George Town,19.2,N,81.24,W
Central African Republic,0,Bangui,4.23,N,18.35,E
Chad,0,N'Djamena,12.1,N,14.59,E
Channel Islands,0,NA,NA,NA,NA,NA
Chile,1,Santiago,33.24,S,70.4,W
China,0,Beijing,39.55,N,116.2,E
"China, Hong Kong SAR",0,NA,NA,NA,NA,NA
"China, Macao SAR",0,Macau,22.12,N,113.33,E
Colombia,0,Bogota,4.34,N,74,W
Comoros,0,Moroni,11.4,S,43.16,E
